run_key,seed,variant,model,tn_dimension,tn_rank,eval_length,accuracy,loss,parameters,training_seconds,best_epoch,best_validation_accuracy,data_seed_train,data_seed_validation,data_seed_test,checkpoint
ttn_chi4_rank4__seed4101,4101,ttn_chi4_rank4,routed_ttn_oracle,4,4,32,0.5234375,0.6941548436880112,1203,6.578653795999799,3,0.556640625,104101,204101,304101,checkpoints/ttn_chi4_rank4__seed4101.pt
ttn_chi4_rank4__seed4101,4101,ttn_chi4_rank4,routed_ttn_oracle,4,4,64,0.5009765625,0.7038450837135315,1203,6.578653795999799,3,0.556640625,104101,204101,404101,checkpoints/ttn_chi4_rank4__seed4101.pt
ttn_chi4_rank9__seed4101,4101,ttn_chi4_rank9,routed_ttn_oracle_widecore,4,9,32,0.5263671875,0.7062277048826218,1803,7.077230526999756,4,0.58203125,104101,204101,304101,checkpoints/ttn_chi4_rank9__seed4101.pt
ttn_chi4_rank9__seed4101,4101,ttn_chi4_rank9,routed_ttn_oracle_widecore,4,9,64,0.501953125,0.7124007493257523,1803,7.077230526999756,4,0.58203125,104101,204101,404101,checkpoints/ttn_chi4_rank9__seed4101.pt
mera_chi4_rank4__seed4101,4101,mera_chi4_rank4,routed_mera_oracle,4,4,32,0.5380859375,0.6974304467439651,1843,12.88091445200007,9,0.5625,104101,204101,304101,checkpoints/mera_chi4_rank4__seed4101.pt
mera_chi4_rank4__seed4101,4101,mera_chi4_rank4,routed_mera_oracle,4,4,64,0.4990234375,0.7363272905349731,1843,12.88091445200007,9,0.5625,104101,204101,404101,checkpoints/mera_chi4_rank4__seed4101.pt
ttn_chi4_rank4__seed4102,4102,ttn_chi4_rank4,routed_ttn_oracle,4,4,32,0.482421875,0.6968381404876709,1203,5.498823965000156,2,0.5,104102,204102,304102,checkpoints/ttn_chi4_rank4__seed4102.pt
ttn_chi4_rank4__seed4102,4102,ttn_chi4_rank4,routed_ttn_oracle,4,4,64,0.5078125,0.6960729956626892,1203,5.498823965000156,2,0.5,104102,204102,404102,checkpoints/ttn_chi4_rank4__seed4102.pt
ttn_chi4_rank9__seed4102,4102,ttn_chi4_rank9,routed_ttn_oracle_widecore,4,9,32,0.494140625,0.6951457113027573,1803,5.724609778000286,3,0.533203125,104102,204102,304102,checkpoints/ttn_chi4_rank9__seed4102.pt
ttn_chi4_rank9__seed4102,4102,ttn_chi4_rank9,routed_ttn_oracle_widecore,4,9,64,0.5087890625,0.6928900331258774,1803,5.724609778000286,3,0.533203125,104102,204102,404102,checkpoints/ttn_chi4_rank9__seed4102.pt
mera_chi4_rank4__seed4102,4102,mera_chi4_rank4,routed_mera_oracle,4,4,32,0.48828125,0.694731742143631,1843,7.484902194999904,2,0.51171875,104102,204102,304102,checkpoints/mera_chi4_rank4__seed4102.pt
mera_chi4_rank4__seed4102,4102,mera_chi4_rank4,routed_mera_oracle,4,4,64,0.509765625,0.6910448968410492,1843,7.484902194999904,2,0.51171875,104102,204102,404102,checkpoints/mera_chi4_rank4__seed4102.pt
ttn_chi4_rank4__seed4103,4103,ttn_chi4_rank4,routed_ttn_oracle,4,4,32,0.4921875,0.714658111333847,1203,8.791953808000017,9,0.53515625,104103,204103,304103,checkpoints/ttn_chi4_rank4__seed4103.pt
ttn_chi4_rank4__seed4103,4103,ttn_chi4_rank4,routed_ttn_oracle,4,4,64,0.4921875,0.7024883329868317,1203,8.791953808000017,9,0.53515625,104103,204103,404103,checkpoints/ttn_chi4_rank4__seed4103.pt
ttn_chi4_rank9__seed4103,4103,ttn_chi4_rank9,routed_ttn_oracle_widecore,4,9,32,0.5224609375,0.6996844708919525,1803,11.337721902999874,10,0.54296875,104103,204103,304103,checkpoints/ttn_chi4_rank9__seed4103.pt
ttn_chi4_rank9__seed4103,4103,ttn_chi4_rank9,routed_ttn_oracle_widecore,4,9,64,0.4658203125,0.7091304957866669,1803,11.337721902999874,10,0.54296875,104103,204103,404103,checkpoints/ttn_chi4_rank9__seed4103.pt
mera_chi4_rank4__seed4103,4103,mera_chi4_rank4,routed_mera_oracle,4,4,32,0.4853515625,0.6968495845794678,1843,8.169556105000083,3,0.515625,104103,204103,304103,checkpoints/mera_chi4_rank4__seed4103.pt
mera_chi4_rank4__seed4103,4103,mera_chi4_rank4,routed_mera_oracle,4,4,64,0.5009765625,0.6942198574542999,1843,8.169556105000083,3,0.515625,104103,204103,404103,checkpoints/mera_chi4_rank4__seed4103.pt
