run_key,study,task,model,runtime_model_name,seed,data_seed_train,data_seed_validation,data_seed_test,train_length,eval_length,active_branches_train,active_branches_eval,train_samples,validation_samples,test_samples,valid_tokens_eval_mean,best_epoch,best_validation_loss,best_validation_accuracy,training_seconds,training_examples_per_second_last_epoch,training_tokens_per_second_last_epoch,parameter_count,checkpoint,eval_loss,eval_accuracy,eval_examples,runtime_inference_seconds_per_batch,runtime_inference_examples_per_second,runtime_inference_tokens_per_second,runtime_inference_batch_size,struct_bond_dimension,struct_effective_rank,struct_tree_depth,struct_active_branches,struct_cut_capacity_bits_proxy,struct_stream_state_scalars_proxy,struct_parameter_count,eval_levels_used,eval_effective_rank,eval_orthogonality,eval_branch_levels_used,eval_branch_effective_rank,eval_global_levels_used,eval_global_effective_rank,struct_router_search_scalars_proxy,eval_branch_orthogonality,eval_global_orthogonality,eval_router_router_entropy,eval_router_router_balance,eval_router_router_active_branches,eval_router_router_lag_entropy,eval_route_accuracy_aligned,eval_route_purity,eval_route_used_branches,struct_attention_score_scalars_proxy,eval_branch_rank_regularizer,eval_global_rank_regularizer
interleaved_tournament__mps__seed20260819,interleaved_tournament,interleaved_threads,mps,mps,20260819,20260823,20260835,21260812,32,32,8,8,2048,512,512,32.0,0,1.292707234621048,0.390625,1.818014573000028,8244.303410766592,263817.70914453093,3972,checkpoints/interleaved_tournament__mps__seed20260819.pt,1.2863042950630188,0.39453125,512.0,0.0018998339999901,33687.15371992111,1077988.9190374757,64.0,16.0,16.0,32.0,1.0,4.0,16.0,3972.0,,,,,,,,,,,,,,,,,,,,
interleaved_tournament__mps__seed20260819,interleaved_tournament,interleaved_threads,mps,mps,20260819,20260823,20260835,22260812,32,64,8,8,2048,512,512,64.0,0,1.292707234621048,0.390625,1.818014573000028,8244.303410766592,263817.70914453093,3972,checkpoints/interleaved_tournament__mps__seed20260819.pt,1.3250906467437744,0.345703125,512.0,0.0036472843333209,17547.302088654425,1123027.3336738832,64.0,16.0,16.0,64.0,1.0,4.0,16.0,3972.0,,,,,,,,,,,,,,,,,,,,
interleaved_tournament__mps__seed20260819,interleaved_tournament,interleaved_threads,mps,mps,20260819,20260823,20260835,23260812,32,128,8,8,2048,512,512,128.0,0,1.292707234621048,0.390625,1.818014573000028,8244.303410766592,263817.70914453093,3972,checkpoints/interleaved_tournament__mps__seed20260819.pt,1.34615957736969,0.3515625,512.0,0.0064372146666755,9942.18824662128,1272600.095567524,64.0,16.0,16.0,128.0,1.0,4.0,16.0,3972.0,,,,,,,,,,,,,,,,,,,,
interleaved_tournament__fixed_ttn__seed20260919,interleaved_tournament,interleaved_threads,fixed_ttn,fixed_ttn,20260919,20260823,20260835,21260912,32,32,8,8,2048,512,512,32.0,1,1.3251880407333374,0.380859375,1.96802688400004,7895.106174489321,252643.39758365828,11717,checkpoints/interleaved_tournament__fixed_ttn__seed20260919.pt,1.3456115126609802,0.34765625,512.0,0.0023537903333211,27190.187288133584,870085.9932202747,64.0,16.0,16.0,5.0,1.0,4.0,80.0,11717.0,5.0,16.0,,,,,,,,,,,,,,,,,,
interleaved_tournament__fixed_ttn__seed20260919,interleaved_tournament,interleaved_threads,fixed_ttn,fixed_ttn,20260919,20260823,20260835,22260912,32,64,8,8,2048,512,512,64.0,1,1.3251880407333374,0.380859375,1.96802688400004,7895.106174489321,252643.39758365828,11717,checkpoints/interleaved_tournament__fixed_ttn__seed20260919.pt,1.3574155569076538,0.3125,512.0,0.0029447343333307,21733.70931143086,1390957.395931575,64.0,16.0,16.0,6.0,1.0,4.0,96.0,11717.0,6.0,16.0,,,,,,,,,,,,,,,,,,
interleaved_tournament__fixed_ttn__seed20260919,interleaved_tournament,interleaved_threads,fixed_ttn,fixed_ttn,20260919,20260823,20260835,23260912,32,128,8,8,2048,512,512,128.0,1,1.3251880407333374,0.380859375,1.96802688400004,7895.106174489321,252643.39758365828,11717,checkpoints/interleaved_tournament__fixed_ttn__seed20260919.pt,1.3889299035072329,0.2890625,512.0,0.0048558380000069,13180.011359503504,1687041.4540164485,64.0,16.0,16.0,7.0,1.0,4.0,112.0,11717.0,7.0,16.0,,,,,,,,,,,,,,,,,,
hierarchy_topology__fixed_ttn__seed20270819,hierarchy_topology,permuted_hierarchy,fixed_ttn,fixed_ttn,20270819,20270823,20270835,21270812,32,32,8,8,4096,1024,512,17.0,21,0.316860307008028,0.880859375,6.494139570000016,12981.8191397812,415418.2124729984,11651,checkpoints/hierarchy_topology__fixed_ttn__seed20270819.pt,0.3578693866729736,0.861328125,512.0,0.0016123923333376,39692.57275462138,1270162.3281478842,64.0,16.0,16.0,5.0,1.0,4.0,80.0,11651.0,5.0,16.0,,,,,,,,,,,,,,,,,,
hierarchy_topology__fixed_ttn__seed20270819,hierarchy_topology,permuted_hierarchy,fixed_ttn,fixed_ttn,20270819,20270823,20270835,22270812,32,64,8,8,4096,1024,512,17.0,21,0.316860307008028,0.880859375,6.494139570000016,12981.8191397812,415418.2124729984,11651,checkpoints/hierarchy_topology__fixed_ttn__seed20270819.pt,0.2226921245455742,0.9140625,512.0,0.0024394246666664,26235.69437274671,1679084.4398557895,64.0,16.0,16.0,6.0,1.0,4.0,96.0,11651.0,6.0,16.0,,,,,,,,,,,,,,,,,,
hierarchy_topology__fixed_ttn__seed20270819,hierarchy_topology,permuted_hierarchy,fixed_ttn,fixed_ttn,20270819,20270823,20270835,23270812,32,128,8,8,4096,1024,512,17.0,21,0.316860307008028,0.880859375,6.494139570000016,12981.8191397812,415418.2124729984,11651,checkpoints/hierarchy_topology__fixed_ttn__seed20270819.pt,0.3188553154468536,0.875,512.0,0.003858846333325,16585.2678421774,2122914.283798707,64.0,16.0,16.0,7.0,1.0,4.0,112.0,11651.0,7.0,16.0,,,,,,,,,,,,,,,,,,
detail_disentangler__fixed_ttn__seed20280819,detail_disentangler,predictive_detail,fixed_ttn,fixed_ttn,20280819,20280823,20280835,21280812,32,32,8,8,2048,512,512,32.0,3,0.6683890372514725,0.59375,2.63565385000004,8187.735172504656,262007.525520149,11683,checkpoints/detail_disentangler__fixed_ttn__seed20280819.pt,0.684042900800705,0.546875,512.0,0.0016901716666666,37865.97613851932,1211711.2364326182,64.0,16.0,16.0,5.0,1.0,4.0,80.0,11683.0,5.0,16.0,,,,,,,,,,,,,,,,,,
