study,model,length,accuracy,loss,parameters,training_s,tokens_per_s,route_accuracy,effective_rank
adaptive_rank,routed_ttn_oracle_adaptive,32,1.0,0.0001415404767612,16867,15.032385707000005,294435.6126011177,,15.995939826965332
combined_stress,fixed_ttn,64,0.54296875,0.6926924288272858,11715,0.8400231159999976,2628575.7068772856,,16.0
combined_stress,routed_ttn_oracle,64,0.529296875,0.6923061907291412,16739,2.6338475930000413,409920.380105308,,16.0
combined_stress,transformer,64,0.5078125,0.7009458243846893,23011,3.161257259000081,861754.8324287393,,32.0
combined_stress,gru,64,0.494140625,0.7106000781059265,8099,1.2188680140000088,1351688.0425337905,,32.0
combined_stress,routed_mera_oracle,64,0.474609375,0.7121851146221161,26979,3.824831100999973,296253.36413204204,,16.0
detail_disentangler,routed_ttn_oracle,32,1.0,0.0006538550951518,16707,13.250879543999986,268248.4945067889,,16.0
detail_disentangler,routed_mera_oracle,32,0.99609375,0.0247620648005977,26947,15.55467007599998,226228.56581906628,,16.0
detail_disentangler,fixed_mera,32,0.6015625,0.6606783866882324,18851,4.013292968999963,799372.1597848166,,16.0
detail_disentangler,gru,32,0.587890625,0.6774459183216095,8035,4.774752616000001,1151188.6997658557,,32.0
detail_disentangler,fixed_ttn,32,0.546875,0.684042900800705,11683,2.63565385000004,1211711.2364326182,,16.0
detail_disentangler,routed_ttn_learned,32,0.50390625,0.6958114504814148,17315,9.71419481399994,304870.5300099671,0.29541015625,16.0
detail_disentangler,routed_mera_learned,32,0.501953125,0.6929802894592285,27555,14.135525260000009,149814.73228410614,0.28314208984375,16.0
detail_disentangler,transformer,32,0.482421875,0.695643424987793,22947,4.266892993999932,458167.9397255184,,32.0
detail_low_rank,routed_mera_oracle,32,0.98046875,0.0675446223467588,1843,14.481951154999932,320980.6795640605,,4.0
detail_low_rank,routed_ttn_oracle,32,0.53125,0.69462451338768,1203,7.651948709000067,321931.2352998703,,4.0
detail_low_rank,routed_ttn_oracle_widecore,32,0.53125,0.683394581079483,1803,6.654206920999968,457495.5440004734,,4.0
hierarchy_topology,routed_ttn_oracle,32,1.0,7.652353815501556e-05,16675,19.628167676999965,544400.2050385051,,16.0
hierarchy_topology,fixed_ttn,32,0.861328125,0.3578693866729736,11651,6.494139570000016,1270162.3281478842,,16.0
hierarchy_topology,fixed_mera,32,0.7734375,0.5435520112514496,18819,8.003758366,866869.7452075225,,16.0
hierarchy_topology,gru,32,0.662109375,0.6111854016780853,7971,7.990191998,1092184.9226947147,,32.0
hierarchy_topology,transformer,32,0.66015625,0.5900891423225403,22883,17.29196959300009,521864.0569627964,,32.0
hierarchy_topology,routed_ttn_learned,32,0.646484375,0.6334971487522125,17259,27.55251982100004,251306.15597390445,0.290771484375,16.0
interleaved_tournament,routed_ttn_oracle,32,1.0,0.0005463274719659,16741,13.94499092500007,326838.08253131784,,16.0
interleaved_tournament,routed_mera_oracle,32,0.994140625,0.0266299769282341,26981,17.18978347799998,213780.85534627672,,16.0
interleaved_tournament,mps,32,0.39453125,1.2863042950630188,3972,1.818014573000028,1077988.9190374757,,16.0
interleaved_tournament,transformer,32,0.392578125,1.2692702412605286,23013,6.88008139100009,527415.6111446797,,32.0
interleaved_tournament,gru,32,0.375,1.2955248951911926,8101,3.142099059999964,1185864.8156509602,,32.0
interleaved_tournament,fixed_mera,32,0.353515625,1.330677330493927,18885,2.7362670780000258,770140.4127411064,,16.0
interleaved_tournament,fixed_ttn,32,0.34765625,1.3456115126609802,11717,1.96802688400004,870085.9932202747,,16.0
interleaved_tournament,routed_ttn_learned,32,0.33203125,1.3658349514007568,17349,6.713822826000069,286003.4545717839,0.2733154296875,16.0
interleaved_tournament,routed_mera_learned,32,0.3046875,1.3576881289482117,27589,8.002684244999955,205005.2580972412,0.31256103515625,16.0
