control_set,seed,variant,accuracy,loss,parameters,data_seed_train,data_seed_validation,data_seed_test
three_paired_seeds,4101,ttn_chi4_rank4,0.5234375,0.6941548436880112,1203,104101,204101,304101
three_paired_seeds,4101,ttn_chi4_rank9,0.5263671875,0.7062277048826218,1803,104101,204101,304101
three_paired_seeds,4101,mera_chi4_rank4,0.5380859375,0.6974304467439651,1843,104101,204101,304101
three_paired_seeds,4102,ttn_chi4_rank4,0.482421875,0.6968381404876709,1203,104102,204102,304102
three_paired_seeds,4102,ttn_chi4_rank9,0.494140625,0.6951457113027573,1803,104102,204102,304102
three_paired_seeds,4102,mera_chi4_rank4,0.48828125,0.694731742143631,1843,104102,204102,304102
three_paired_seeds,4103,ttn_chi4_rank4,0.4921875,0.714658111333847,1203,104103,204103,304103
three_paired_seeds,4103,ttn_chi4_rank9,0.5224609375,0.6996844708919525,1803,104103,204103,304103
three_paired_seeds,4103,mera_chi4_rank4,0.4853515625,0.6968495845794678,1843,104103,204103,304103
paired_reference_initialization,20290919,ttn_chi4_rank4,0.9736328125,0.0952018275856971,1203,20290823,20290835,21290912
paired_reference_initialization,20290919,ttn_chi4_rank9,0.9814453125,0.1189224645495414,1803,20290823,20290835,21290912
paired_reference_initialization,20290919,mera_chi4_rank4,0.9853515625,0.0631685545668006,1843,20290823,20290835,21290912
