run_key,study,task,model,runtime_model_name,seed,data_seed_train,data_seed_validation,data_seed_test,train_length,eval_length,active_branches_train,active_branches_eval,train_samples,validation_samples,test_samples,valid_tokens_eval_mean,best_epoch,best_validation_loss,best_validation_accuracy,training_seconds,training_examples_per_second_last_epoch,training_tokens_per_second_last_epoch,parameter_count,checkpoint,eval_loss,eval_accuracy,eval_examples,runtime_inference_seconds_per_batch,runtime_inference_examples_per_second,runtime_inference_tokens_per_second,runtime_inference_batch_size,struct_bond_dimension,struct_effective_rank,struct_tree_depth,struct_active_branches,struct_cut_capacity_bits_proxy,struct_stream_state_scalars_proxy,struct_parameter_count,eval_levels_used,eval_effective_rank,eval_orthogonality,eval_branch_levels_used,eval_branch_effective_rank,eval_global_levels_used,eval_global_effective_rank,struct_router_search_scalars_proxy,eval_router_router_entropy,eval_router_router_balance,eval_router_router_active_branches,eval_router_router_lag_entropy,eval_route_accuracy_aligned,eval_route_purity,eval_route_used_branches,eval_branch_orthogonality,eval_global_orthogonality,struct_attention_score_scalars_proxy,eval_branch_rank_regularizer,eval_global_rank_regularizer
smoke_all__mps__seed20,smoke_all,interleaved_threads,mps,mps,20,24,36,1000013,32,32,8,8,64,32,32,32.0,1,1.4030780792236328,0.25,0.0463624679999838,3593.113774993781,114979.640799801,1028,checkpoints/smoke_all__mps__seed20.pt,1.3967547416687012,0.25,32.0,0.000649678000002,24627.584741902512,788082.7117408804,16.0,8.0,8.0,32.0,1.0,3.0,8.0,1028.0,,,,,,,,,,,,,,,,,,,,
smoke_all__fixed_ttn__seed120,smoke_all,interleaved_threads,fixed_ttn,fixed_ttn,120,24,36,1000113,32,32,8,8,64,32,32,32.0,0,1.3904486894607544,0.25,0.0659967870000173,2313.568242687544,74034.18376600138,2701,checkpoints/smoke_all__fixed_ttn__seed120.pt,1.4065396785736084,0.21875,32.0,0.0010714759999927,14932.672313805935,477845.5140417899,16.0,8.0,8.0,5.0,1.0,3.0,40.0,2701.0,5.0,8.0,,,,,,,,,,,,,,,,,,
smoke_all__fixed_mera__seed220,smoke_all,interleaved_threads,fixed_mera,fixed_mera,220,24,36,1000213,32,32,8,8,64,32,32,32.0,1,1.3792994022369385,0.40625,0.0768263920000436,1795.8541472348418,57467.33271151494,4237,checkpoints/smoke_all__fixed_mera__seed220.pt,1.3967996835708618,0.15625,32.0,0.0017492759999981,9146.641239013486,292692.5196484316,16.0,8.0,8.0,5.0,1.0,15.0,40.0,4237.0,5.0,8.0,0.000116243980301,,,,,,,,,,,,,,,,,
smoke_all__routed_ttn_oracle__seed320,smoke_all,interleaved_threads,routed_ttn_oracle,routed_ttn_oracle,320,24,36,1000313,32,32,8,8,64,32,32,32.0,0,1.4039732217788696,0.15625,0.1178852019999681,1552.5158750193975,49680.50800062072,3997,checkpoints/smoke_all__routed_ttn_oracle__seed320.pt,1.357081174850464,0.25,32.0,0.002112717999978,7573.182980485978,242341.8553755513,16.0,8.0,8.0,5.0,8.0,24.0,320.0,3997.0,,,,5.0,8.0,3.0,8.0,0.0,,,,,,,,,,,,
smoke_hierarchy__routed_ttn_oracle__seed10020,smoke_hierarchy,permuted_hierarchy,routed_ttn_oracle,routed_ttn_oracle,10020,10024,10036,1010013,32,32,8,8,64,32,32,17.0,1,0.691295862197876,0.53125,0.0859105920000047,1684.8709070335838,53915.86902507468,3963,checkpoints/smoke_hierarchy__routed_ttn_oracle__seed10020.pt,0.6766062378883362,0.625,32.0,0.0020956930000011,7634.706037569172,244310.5932022135,16.0,8.0,8.0,5.0,8.0,24.0,320.0,3963.0,,,,5.0,8.0,3.0,8.0,0.0,,,,,,,,,,,,
smoke_combined__routed_ttn_oracle__seed30020,smoke_combined,combined_language,routed_ttn_oracle,routed_ttn_oracle,30020,30024,30036,1030013,64,64,8,8,64,32,32,49.0,1,0.6717527508735657,0.6875,0.1137447030000089,1288.0593616647352,82435.79914654305,3995,checkpoints/smoke_combined__routed_ttn_oracle__seed30020.pt,0.6811716556549072,0.59375,32.0,0.0034853129999987,4590.6924284865245,293804.3154231376,16.0,8.0,8.0,6.0,8.0,24.0,384.0,3995.0,,,,6.0,8.0,3.0,8.0,0.0,,,,,,,,,,,,
smoke_all__routed_ttn_learned__seed420,smoke_all,interleaved_threads,routed_ttn_learned,routed_ttn_learned,420,24,36,1000413,32,32,8,8,64,32,32,32.0,0,1.4453359842300415,0.125,0.119116487000042,1333.646156710431,42676.67701473379,4325,checkpoints/smoke_all__routed_ttn_learned__seed420.pt,1.425276517868042,0.1875,32.0,0.0068907570000078,2321.950984482803,74302.4315034497,16.0,8.0,8.0,5.0,8.0,24.0,320.0,4325.0,,,,5.0,8.0,3.0,8.0,2048.0,0.95943021774292,0.0928020477294921,5.0,0.9999879002571106,0.279296875,0.2802734375,7.0,,,,,
smoke_all__routed_mera_oracle__seed520,smoke_all,interleaved_threads,routed_mera_oracle,routed_mera_oracle,520,24,36,1000513,32,32,8,8,64,32,32,32.0,1,1.3841166496276855,0.15625,0.1299763970000071,1152.0002396157422,36864.00766770375,6301,checkpoints/smoke_all__routed_mera_oracle__seed520.pt,1.3897558450698853,0.1875,32.0,0.0029905960000178,5350.104126369661,171203.33204382914,16.0,8.0,8.0,5.0,8.0,24.0,320.0,6301.0,,,,5.0,8.0,3.0,8.0,0.0,,,,,,,,0.0001502031664131,0.0001127587238443,,,
smoke_detail__routed_mera_oracle__seed20020,smoke_detail,predictive_detail,routed_mera_oracle,routed_mera_oracle,20020,20024,20036,1020013,32,32,8,8,64,32,32,32.0,1,0.6583155393600464,0.59375,0.1083079729999667,1270.066303413313,40642.12170922602,6283,checkpoints/smoke_detail__routed_mera_oracle__seed20020.pt,0.7382064461708069,0.40625,32.0,0.0029320380000399,5456.955196277149,174622.56628086878,16.0,8.0,8.0,5.0,8.0,24.0,320.0,6283.0,,,,5.0,8.0,3.0,8.0,0.0,,,,,,,,0.0001524597901152,0.0001616716617718,,,
smoke_all__routed_mera_learned__seed620,smoke_all,interleaved_threads,routed_mera_learned,routed_mera_learned,620,24,36,1000613,32,32,8,8,64,32,32,32.0,1,1.4059765338897705,0.25,0.1691999880000025,692.6304755914143,22164.17521892526,6629,checkpoints/smoke_all__routed_mera_learned__seed620.pt,1.4026367664337158,0.1875,32.0,0.003521567000007,4543.431943781832,145389.82220101863,16.0,8.0,8.0,5.0,8.0,24.0,320.0,6629.0,,,,5.0,8.0,3.0,8.0,2048.0,0.9715704917907716,0.1278610229492187,5.0,0.9999714493751526,0.2705078125,0.291015625,7.0,0.0001012997818179,0.0001231861679116,,,
